match_id,city,dates,event_name,event_match_number,gender,match_type,outcome_winner,outcome_by_wickets,outcome_by_runs,player_of_match,season,team_type,toss_winner,toss_decision,venue
1000851,Perth,,South Africa in Australia Test Series,1.0,male,Test,South Africa,,177.0,K Rabada,2016,international,South Africa,bat,Western Australia Cricket Association Ground
1000853,Hobart,,South Africa in Australia Test Series,2.0,male,Test,South Africa,,80.0,KJ Abbott,2016,international,South Africa,field,Bellerive Oval
1000855,,,South Africa in Australia Test Series,3.0,male,Test,Australia,7.0,,UT Khawaja,2016,international,South Africa,bat,Adelaide Oval
1000881,Brisbane,,Pakistan in Australia Test Series,1.0,male,Test,Australia,,39.0,Asad Shafiq,2016,international,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
1000883,,,Pakistan in Australia Test Series,2.0,male,Test,Australia,,18.0,SPD Smith,2016,international,Pakistan,bat,Melbourne Cricket Ground
1000885,,,Pakistan in Australia Test Series,3.0,male,Test,Australia,,220.0,DA Warner,2016,international,Australia,bat,Sydney Cricket Ground
1000887,Brisbane,2017-01-13 00:00:00,Pakistan in Australia ODI Series,1.0,male,ODI,Australia,,92.0,MS Wade,2016,international,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
1000889,,2017-01-15 00:00:00,Pakistan in Australia ODI Series,2.0,male,ODI,Pakistan,6.0,,Mohammad Hafeez,2016,international,Australia,bat,Melbourne Cricket Ground
1000891,Perth,2017-01-19 00:00:00,Pakistan in Australia ODI Series,3.0,male,ODI,Australia,7.0,,SPD Smith,2016,international,Australia,field,Western Australia Cricket Association Ground
1000893,,2017-01-22 00:00:00,Pakistan in Australia ODI Series,4.0,male,ODI,Australia,,86.0,DA Warner,2016,international,Australia,bat,Sydney Cricket Ground
1000895,,2017-01-26 00:00:00,Pakistan in Australia ODI Series,5.0,male,ODI,Australia,,57.0,DA Warner,2016,international,Australia,bat,Adelaide Oval
1001349,,2017-02-17 00:00:00,Sri Lanka in Australia T20I Series,1.0,male,T20,Sri Lanka,5.0,,DAS Gunaratne,2016,international,Sri Lanka,field,Melbourne Cricket Ground
1001351,Victoria,2017-02-19 00:00:00,Sri Lanka in Australia T20I Series,2.0,male,T20,Sri Lanka,2.0,,DAS Gunaratne,2016,international,Sri Lanka,field,"Simonds Stadium, South Geelong"
1001353,,2017-02-22 00:00:00,Sri Lanka in Australia T20I Series,3.0,male,T20,Australia,,41.0,A Zampa,2016,international,Sri Lanka,field,Adelaide Oval
1001371,,2016-12-04 00:00:00,Chappell-Hadlee Trophy,1.0,male,ODI,Australia,,68.0,SPD Smith,2016,international,Australia,bat,Sydney Cricket Ground
1001373,Canberra,2016-12-06 00:00:00,Chappell-Hadlee Trophy,2.0,male,ODI,Australia,,116.0,DA Warner,2016,international,New Zealand,field,Manuka Oval
1001375,,2016-12-09 00:00:00,Chappell-Hadlee Trophy,3.0,male,ODI,Australia,,117.0,DA Warner,2016,international,Australia,bat,Melbourne Cricket Ground
1002143,Belfast,2016-05-02 00:00:00,Cricket Ireland Inter-Provincial Limited Over Cup,1.0,male,ODM,Leinster Lightning,6.0,,,2016,club,Northern Knights,bat,"Civil Service Cricket Club, Stormont, Belfast"
1002145,Strabane,2016-05-30 00:00:00,Cricket Ireland Inter-Provincial Limited Over Cup,2.0,male,ODM,Leinster Lightning,,141.0,,2016,club,Leinster Lightning,bat,New Strabane Park
1002147,Dublin,2016-06-12 00:00:00,Cricket Ireland Inter-Provincial Limited Over Cup,3.0,male,ODM,,,,,2016,club,Leinster Lightning,field,"The Vineyard, Dublin"
1002149,Dublin,2016-07-31 00:00:00,Cricket Ireland Inter-Provincial Limited Over Cup,4.0,male,ODM,Leinster Lightning,4.0,,,2016,club,Northern Knights,bat,"Observatory Lane, Rathmines, Dublin"
1002151,Waringstown,2016-08-07 00:00:00,Cricket Ireland Inter-Provincial Limited Over Cup,5.0,male,ODM,Northern Knights,3.0,,,2016,club,North-West Warriors,bat,"The Lawn, Waringstown"
1002157,Comber,2016-05-27 00:00:00,Cricket Ireland Inter-Provincial Twenty20 Trophy,,male,T20,North-West Warriors,,12.0,,2016,club,North-West Warriors,bat,"The Green, Comber"
1003843,Johannesburg,2016-11-12 00:00:00,CSA T20 Challenge,,male,T20,Knights,,38.0,"M de Lange, PE Kruger",2016,club,Cape Cobras,field,"New Wanderers Stadium, Johannesburg"
1003845,Johannesburg,2016-11-12 00:00:00,CSA T20 Challenge,,male,T20,Titans,,42.0,"JA Morkel, HG Kuhn",2016,club,Lions,field,"New Wanderers Stadium, Johannesburg"
1003847,Durban,2016-11-13 00:00:00,CSA T20 Challenge,,male,T20,Warriors,7.0,,ACR Birch,2016,club,Warriors,field,"Kingsmead, Durban"
1003849,Paarl,2016-11-16 00:00:00,CSA T20 Challenge,,male,T20,Titans,6.0,,"JA Morkel, CJ Dala",2016,club,Cape Cobras,bat,"Boland Park, Paarl"
1003855,Benoni,2016-11-18 00:00:00,CSA T20 Challenge,,male,T20,Titans,3.0,,"JA Morkel, DA Miller",2016,club,Knights,bat,"Willowmoore Park, Benoni"
1003857,Bloemfontein,2016-11-20 00:00:00,CSA T20 Challenge,,male,T20,Titans,,58.0,"F Behardien, S von Berg",2016,club,Dolphins,field,"Mangaung Oval, Bloemfontein"
1003859,Bloemfontein,2016-11-20 00:00:00,CSA T20 Challenge,,male,T20,Warriors,,42.0,"C Jonker, BD Walters",2016,club,Warriors,bat,"Mangaung Oval, Bloemfontein"
1003861,Potchefstroom,2016-11-20 00:00:00,CSA T20 Challenge,,male,T20,Lions,,3.0,"AM Phangiso, M Mosehle",2016,club,Lions,bat,"Senwes Park, Potchefstroom"
1003865,Port Elizabeth,2016-11-25 00:00:00,CSA T20 Challenge,,male,T20,Warriors,6.0,,"C Jonker, JT Smuts",2016,club,Lions,bat,"St George's Park, Port Elizabeth"
1003867,Bloemfontein,2016-11-25 00:00:00,CSA T20 Challenge,,male,T20,Dolphins,8.0,,,2016,club,Knights,bat,"Mangaung Oval, Bloemfontein"
1003869,Centurion,2016-11-25 00:00:00,CSA T20 Challenge,,male,T20,,,,,2016,club,Titans,field,"SuperSport Park, Centurion"
1003871,Kimberley,2016-11-27 00:00:00,CSA T20 Challenge,,male,T20,Titans,,10.0,"JA Morkel, PE Kruger",2016,club,Knights,field,"Diamond Oval, Kimberley"
1003873,Johannesburg,2016-11-27 00:00:00,CSA T20 Challenge,,male,T20,Lions,,6.0,"R Frylinck, BC Fortuin",2016,club,Lions,bat,"New Wanderers Stadium, Johannesburg"
1003875,Port Elizabeth,2016-11-30 00:00:00,CSA T20 Challenge,,male,T20,Warriors,8.0,,"JT Smuts, JT Smuts",2016,club,Knights,bat,"St George's Park, Port Elizabeth"
1003877,Durban,2016-11-30 00:00:00,CSA T20 Challenge,,male,T20,Dolphins,6.0,,"CS Delport, S von Berg",2016,club,Titans,bat,"Kingsmead, Durban"
1003879,Kimberley,2016-12-02 00:00:00,CSA T20 Challenge,,male,T20,Lions,,20.0,"NJ van den Bergh, BC Fortuin",2016,club,Lions,bat,"Diamond Oval, Kimberley"
1003881,Centurion,2016-12-02 00:00:00,CSA T20 Challenge,,male,T20,Warriors,6.0,,"ACR Birch, CN Ackermann",2016,club,Warriors,field,"SuperSport Park, Centurion"
1003883,Durban,2016-12-04 00:00:00,CSA T20 Challenge,,male,T20,Lions,,5.0,"HE van der Dussen, GC Viljoen",2016,club,Lions,bat,"Kingsmead, Durban"
1003885,Durban,2016-12-04 00:00:00,CSA T20 Challenge,,male,T20,Cape Cobras,7.0,,"RK Kleinveldt, DJ Vilas",2016,club,Dolphins,bat,"Kingsmead, Durban"
1003887,Cape Town,2016-12-07 00:00:00,CSA T20 Challenge,,male,T20,Cape Cobras,8.0,,"RE Levi, WD Parnell",2016,club,Knights,bat,"Newlands, Cape Town"
1003889,East London,2016-12-07 00:00:00,CSA T20 Challenge,,male,T20,Warriors,7.0,,"JT Smuts, JT Smuts",2016,club,Dolphins,bat,"Buffalo Park, East London"
1003891,Centurion,2016-12-07 00:00:00,CSA T20 Challenge,,male,T20,Titans,,46.0,"D Wiese, JD Vandiar",2016,club,Lions,field,"SuperSport Park, Centurion"
1003895,Potchefstroom,2016-12-09 00:00:00,CSA T20 Challenge,,male,T20,Knights,,3.0,"RS Second, M Budaza",2016,club,Knights,field,"Senwes Park, Potchefstroom"
1003899,East London,2016-12-11 00:00:00,CSA T20 Challenge,,male,T20,Titans,,6.0,"F Behardien, D Wiese",2016,club,Warriors,field,"Buffalo Park, East London"
1003901,Durban,2016-12-11 00:00:00,CSA T20 Challenge,,male,T20,Knights,9.0,,"D du Preez, PE Kruger",2016,club,Knights,field,"Kingsmead, Durban"
